date,time,describe,air_temp,humid,pressure_sea_level
2015-11-10,00:54,Cloudy,47,0.66,1026.4
2015-11-10,01:54,Cloudy,47,0.66,1026.1
2015-11-10,02:54,Cloudy,47,0.69,1025.2
2015-11-10,03:54,Cloudy,47,0.66,1024.8
2015-11-10,04:54,Cloudy,46,0.68,1024.5
2015-11-10,05:54,Overcast,45,0.74,1024.5
2015-11-10,06:54,Cloudy,37,0.71,1024.5
2015-11-10,07:54,Cloudy,50,0.61,1024.8
2015-11-10,08:54,Cloudy,51,0.59,1024.4
2015-11-10,09:54,Cloudy,51,0.61,1024.4
2015-11-10,10:54,Cloudy,51,0.64,1023.4
2015-11-10,11:54,Overcast,52,0.55,1022.0
2015-11-10,12:54,Overcast,51,0.59,1020.9
2015-11-10,13:54,Overcast,51,0.66,1019.8
2015-11-10,14:54,Overcast,51,0.64,1019.6
2015-11-10,15:54,Overcast,50,0.71,1018.7
2015-11-10,16:54,Overcast,50,0.74,1018.3
2015-11-10,17:54,Overcast,50,0.77,1017.5
2015-11-10,18:54,Overcast,50,0.80,1017.1
2015-11-10,19:54,Rain,50,0.83,1016.0
2015-11-10,20:54,Rain,50,0.89,1015.4
2015-11-10,21:54,Overcast,50,0.89,1014.5
2015-11-10,22:54,Rain,50,0.89,1013.3
2015-11-10,23:54,Overcast,50,0.89,1012.2
2015-11-11,00:54,Rain,50,0.96,1011.1
2015-11-11,01:54,Rain,50,0.96,1010.3
2015-11-11,02:54,Rain,50,0.96,1009.7
2015-11-11,03:54,Rain,50,0.96,1009.3
2015-11-11,04:54,Rain,50,0.93,1008.6
2015-11-11,05:54,Rain,48,0.93,1008.2
2015-11-11,06:54,Mist,47,0.93,1008.3
2015-11-11,07:54,Rain,47,0.93,1008.8
2015-11-11,08:54,Mist,48,0.89,1009.1
2015-11-11,09:54,Mist,47,0.93,1009.1
2015-11-11,10:54,Mist,47,0.93,1009.3
